query_id,gallery_id,confidence
486dd80d22f94a5496b3e670b19399a7,df7ea50171af48df81584ab7e8107d15,0.6973
9e1bede2ba464377897f1d482b7c49ae,df7ea50171af48df81584ab7e8107d15,0.7130
a1595c1d280449abbff7742dcdc90b72,e79ae27b52fa4d54aa37735fd275c66e,0.9173
58c2bd09ab0c4a56ad05b91a3de36417,34b736136487439389c10cc6bd4e9f4e,0.7538
4d5ef36361734ccdae5d52098bf0123f,34b736136487439389c10cc6bd4e9f4e,0.6696
4d78e6316a014332815f66e59a8a4099,23199e1859544647893a97ea365c5c83,0.4003
4e7bd3e813564642929978bfa51f30c7,23199e1859544647893a97ea365c5c83,0.6895
f25af2430f9345bebb1d841e5867c08d,fbfaa119f55a477984e42d80498f54d3,0.6321
44b22297fb9049d682c5ca2921bfc8fa,fbfaa119f55a477984e42d80498f54d3,0.6686
115a8b58da1343fd928c9b8e89d40878,41e657daa20545a588584578bdb4101c,0.5020
dcb5bc6262f24669a59aadae1fe8a9c6,41e657daa20545a588584578bdb4101c,0.5945
16bb236a08d141388ef98f19a4ca335b,57bcda73abab44ee930b20cdaee9d24b,0.7083
6bb81302398a41f3a58838ff31bdb0f8,57bcda73abab44ee930b20cdaee9d24b,0.7559
efa58554232841b693eb71ccc7417f3d,0accd1d0138b49049d437c0d9b1c23c3,0.6906
9b715a377ba548f682027f97bfd90fef,0accd1d0138b49049d437c0d9b1c23c3,0.8583
1423a1c6689d4577818b5aa7d4dce019,04d24d1cf42b4f7787d8d300cbad6d50,0.7934
dd907a79f4e744e2851eafcd9227e602,dd36cc0867b94d55a43b82c1c9a0e95c,0.6350
7c541d4fc72e49c0ab64a3c1d0fd1c08,dd36cc0867b94d55a43b82c1c9a0e95c,0.5262
518c046dd36b449fab3f0ffe249b1282,b83013f4c5524232814efa0f8651867f,0.7497
623639be18e04aeba2e0129efe84aab8,27fe100af7884932a33bf30f10dacc55,0.5435
12c13948584341d6a5e45dde227253f8,b83013f4c5524232814efa0f8651867f,0.7367
4d070f30ba5d4a11b0b78073f47f11a8,27fe100af7884932a33bf30f10dacc55,0.5308
a376e7d651454d5490a6836fdcfbb986,c3f66637872c4141ab3898296739457d,0.5860
127639f543af45dba72da3cecff7c65a,ce4fdd5499f8498793c11e586f7da70c,0.7020
c91c2c649312417aa86fe0975f437d9f,ce4fdd5499f8498793c11e586f7da70c,0.7397
8b60f7f0b86c4168ad03970ab04f5e6f,51c6049a18b84ee381d0512e40b67c0e,0.6179
514ebe94b40c403482de042102289b46,51c6049a18b84ee381d0512e40b67c0e,0.7213
543ddcbf2bd941a58120dad59c45ceb0,6b4676aba2a746b3ab778315afc8ee82,0.8252
107e548bacc844d38e74d9d3d4c6daef,7226603f024c45c6a6e44b00e52e8aad,0.3987
2b96b856fb814e1ea13121869bdfba59,f12e9e5805534d719f829332d1ea5d29,0.7981
b2bd2aeb78c846db8046a83ff0fa2cd1,f12e9e5805534d719f829332d1ea5d29,0.8342
dba7a96eede9465fb56a4f743a85c9c0,7226603f024c45c6a6e44b00e52e8aad,0.5675
95a37fbd9d724d448e13f4ffabbe0274,93dc50abd35349f7923100dca2f41002,0.8328
e365a82950b3437a9ffd8bbebb0713a8,93dc50abd35349f7923100dca2f41002,0.8360
5fe3bf5786b54f9f8d85861573fc9d2f,a0b4d283f12a407286dbeaa3a4d128a5,0.8156
be8193e46ed74126aa2fa3bd4d20feb7,4e4495962a9b4864882397042f1a2b3e,0.3930
e0e982cb170f440b970c9d9d1946f9dd,78809cb3c6b841a9b8b132133dd6bb96,0.6536
e0249c6a39824516a1c3d7d3d47dfde9,4e4495962a9b4864882397042f1a2b3e,0.6307
1c0381823ed0499e8e96e4cfd8b9a64a,ff51ca928cd54f4da620c27983e221f8,0.4783
2282d8cf50554304ab195b1a53c7d9f3,6dc5832f0ac04df2bd99c6415b3ecf09,0.4806
